Comunidad_autónoma;Año_2024;Año_2023;Año_2022;Año_2021;Año_2020;Año_2019;Año_2018
Andalucía;3405628;2800000;2222000;1300000;836000;2073000;1727000
Aragón;192632;164000;143000;96000;67000;115000;95000
Asturias, Principado de;215306;183000;142000;95000;66000;107000;85000
Balears, Illes;510941;477000;468000;310000;135000;409000;391000
Canarias;1509639;1265000;1098000;720000;496000;875000;832000
Cantabria;188702;160000;128000;87000;59000;100000;84000
Castilla y León;325837;266000;214000;136000;77000;171000;136000
Castilla - La Mancha;185538;147000;119000;81000;47000;98000;76000
Cataluña;1657800;1452000;1195000;686000;468000;1439000;1340000
Comunitat Valenciana;1531744;1265000;1012000;653000;410000;933000;804000
Extremadura;110826;95000;83000;52000;32000;57000;47000
Galicia;500029;409000;323000;202000;110000;220000;159000
Madrid, Comunidad de;1305064;1025000;735000;359000;261000;884000;783000
Murcia, Región de;141361;110000;88000;60000;39000;76000;65000
Navarra, Comunidad Foral de;75759;62000;47000;29000;17000;40000;32000
País Vasco;269183;228000;180000;103000;66000;179000;159000
Rioja, La;66314;58000;47000;29000;17000;44000;34000
Ceuta;2626;2000;;;;2000;2000
Melilla;1383;1000;;;;;
